USMS Men's Short Course Yards Records 07/15/2024
Age Group,Event,Name,Date,Time
M65-69,100 Y Breast,Rick Colella,04-28-17,1:02.75Y
M65-69,200 Y Breast,Rick Colella,04-29-17,2:16.70Y
M65-69,50 Y Fly,Richard T Abrahams,05-22-10,24.94Y
M65-69,100 Y Fly,Richard T Abrahams,05-21-10,56.36Y
M65-69,200 Y Fly,Rick Colella,04-09-17,2:08.94Y
M65-69,100 Y IM,Rick Colella,04-26-19,57.37Y
M65-69,200 Y IM,Rick Colella,04-28-17,2:03.63Y
M65-69,400 Y IM,Rick Colella,05-11-18,4:30.64Y
M70-74,50 Y Free,Doug Martin,05-20-23,24.01Y
M70-74,100 Y Free,Rick Colella,04-16-23,53.90Y
M70-74,200 Y Free,Rick Colella,04-29-22,1:56.50Y
M70-74,500 Y Free,Rick Colella,11-06-22,5:11.03Y
M70-74,1000 Y Free,Rick Colella,04-16-23,11:05.03Y
M70-74,1650 Y Free,Rick Colella,04-16-23,18:30.92Y
M70-74,50 Y Back,Rick Colella,11-06-22,28.79Y
M70-74,100 Y Back,Rick Colella,11-06-22,1:01.79Y
M70-74,200 Y Back,Rick Colella,04-15-23,2:12.65Y
M70-74,50 Y Breast,Rick Colella,04-15-23,29.67Y
M70-74,100 Y Breast,Rick Colella,04-30-22,1:04.95Y
M70-74,200 Y Breast,Rick Colella,04-29-23,2:21.03Y
M70-74,50 Y Fly,Rick Colella,04-15-23,26.30Y
M70-74,100 Y Fly,Rick Colella,11-06-22,58.74Y
M70-74,200 Y Fly,Rick Colella,04-30-23,2:17.30Y
M70-74,100 Y IM,Rick Colella,04-30-22,59.97Y
M70-74,200 Y IM,Rick Colella,05-01-22,2:10.59Y
M70-74,400 Y IM,Rick Colella,04-29-22,4:43.56Y
M75-79,50 Y Free,Jeff Farrell,03-04-12,25.58Y
M75-79,100 Y Free,David A Radcliff,05-10-09,58.68Y
M75-79,200 Y Free,David A Radcliff,05-10-09,2:08.77Y
M75-79,500 Y Free,Dan L Kirkland,11-05-23,5:55.81Y
M75-79,1000 Y Free,Dan L Kirkland,04-13-24,12:17.18Y
M75-79,1650 Y Free,David A Radcliff,05-10-09,20:25.49Y
M75-79,50 Y Back,Richard Burns,04-26-19,30.90Y
M75-79,100 Y Back,Richard Burns,04-28-19,1:07.31Y
M75-79,200 Y Back,Richard Burns,04-27-19,2:27.48Y
M75-79,50 Y Breast,Douglas A Springer,05-13-22,33.89Y
M75-79,100 Y Breast,Douglas A Springer,04-30-22,1:15.25Y
M75-79,200 Y Breast,Mike R Freshley,04-29-16,2:45.33Y
M75-79,50 Y Fly,Richard T Abrahams,07-25-21,28.70Y
M75-79,100 Y Fly,Richard T Abrahams,04-29-22,1:06.01Y
M75-79,200 Y Fly,Fred J Schlicher,05-11-24,2:42.76Y
M75-79,100 Y IM,Andrew M McPherson,04-30-22,1:08.23Y
M75-79,200 Y IM,Alek I Shestakov,05-19-24,2:34.26Y
M75-79,400 Y IM,Alek I Shestakov,05-17-24,5:37.67Y
M80-84,50 Y Free,Jeff Farrell,04-30-17,28.68Y
,,Jeff Farrell,04-28-17,28.68Y
M80-84,100 Y Free,Richard Burns,06-20-24,1:03.59Y
M80-84,200 Y Free,David A Radcliff,04-12-15,2:23.60Y
M80-84,500 Y Free,David A Radcliff,05-01-14,6:27.81Y
M80-84,1000 Y Free,David A Radcliff,05-01-14,13:10.14Y
M80-84,1650 Y Free,David A Radcliff,05-01-14,21:54.87Y
M80-84,50 Y Back,Richard Burns,05-18-24,32.59Y
M80-84,100 Y Back,Richard Burns,06-21-24,1:11.64Y
M80-84,200 Y Back,Richard Burns,06-23-24,2:36.94Y
M80-84,50 Y Breast,Mike R Freshley,05-01-21,37.48Y
M80-84,100 Y Breast,Mike R Freshley,05-01-21,1:23.28Y
M80-84,200 Y Breast,Mike R Freshley,04-17-21,3:01.78Y
M80-84,50 Y Fly,Richard Burns,05-18-24,32.12Y
,,Richard Burns,04-20-24,32.12Y
M80-84,100 Y Fly,Richard Burns,06-22-24,1:15.29Y
M80-84,200 Y Fly,Thomas O Maine,04-23-06,3:25.55Y
M80-84,100 Y IM,David Costill,04-16-16,1:14.86Y
M80-84,200 Y IM,Richard Burns,04-21-24,2:50.39Y
M80-84,400 Y IM,David Costill,02-20-16,6:26.09Y
M85-89,50 Y Free,Jeff Farrell,05-15-22,31.04Y
M85-89,100 Y Free,Frank M Piemme,04-18-10,1:10.92Y
M85-89,200 Y Free,David A Radcliff,05-19-19,2:42.78Y
M85-89,500 Y Free,David A Radcliff,05-17-19,7:37.32Y
M85-89,1000 Y Free,David A Radcliff,05-17-19,15:25.19Y
M85-89,1650 Y Free,David A Radcliff,05-17-19,25:31.87Y
M85-89,50 Y Back,Clarke E Mitchell,04-21-18,36.72Y
M85-89,100 Y Back,Clarke E Mitchell,04-22-18,1:24.98Y
M85-89,200 Y Back,Marty A Mennen,02-06-22,3:14.37Y
M85-89,50 Y Breast,Frank M Piemme,03-07-10,42.72Y
M85-89,100 Y Breast,Frank M Piemme,04-18-10,1:34.67Y
M85-89,200 Y Breast,Frank M Piemme,03-20-10,3:46.18Y
M85-89,50 Y Fly,Clarke E Mitchell,05-13-18,38.14Y
M85-89,100 Y Fly,Frank M Piemme,04-18-10,1:41.31Y
M85-89,200 Y Fly,Thomas O Maine,01-08-11,3:43.03Y
M85-89,100 Y IM,Frank M Piemme,03-07-10,1:28.37Y
M85-89,200 Y IM,Frank M Piemme,04-18-10,3:18.10Y
M85-89,400 Y IM,Thomas O Maine,02-12-11,7:30.51Y
M90-94,50 Y Free,Woody Bowersock,09-21-03,35.96Y
M90-94,100 Y Free,Woodrow Bowersock,03-21-04,1:27.26Y
M90-94,200 Y Free,Willard J Lamb,01-31-15,3:18.81Y
M90-94,500 Y Free,Willard J Lamb,03-24-13,8:54.93Y
M90-94,1000 Y Free,Willard J Lamb,11-09-13,18:13.07Y
M90-94,1650 Y Free,Willard J Lamb,11-09-13,30:23.70Y
M90-94,50 Y Back,Yoshi Oyakawa,04-14-24,47.24Y
M90-94,100 Y Back,John Merrill,03-25-07,1:46.67Y
M90-94,200 Y Back,John Merrill,03-25-07,3:54.03Y
M90-94,50 Y Breast,Richard I McClow,03-26-22,51.17Y
M90-94,100 Y Breast,Raymond I Hakomaki,01-30-11,1:58.35Y
M90-94,200 Y Breast,Thomas O Maine,03-13-16,4:36.60Y
M90-94,50 Y Fly,Walter Pfeiffer,03-21-04,50.44Y
M90-94,100 Y Fly,Thomas O Maine,04-30-16,2:06.88Y
M90-94,200 Y Fly,Thomas O Maine,04-29-16,4:44.76Y
M90-94,100 Y IM,Richard I McClow,07-23-21,1:52.03Y
M90-94,200 Y IM,Thomas O Maine,04-30-16,4:02.84Y
M90-94,400 Y IM,Thomas O Maine,05-01-16,8:37.61Y
M95-99,50 Y Free,Willard J Lamb,05-13-18,42.23Y
M95-99,100 Y Free,Willard J Lamb,05-12-18,1:37.61Y
M95-99,200 Y Free,Willard J Lamb,04-14-18,3:38.02Y
M95-99,500 Y Free,Willard J Lamb,04-15-18,9:40.15Y
M95-99,1000 Y Free,Willard J Lamb,01-27-19,20:07.46Y
M95-99,1650 Y Free,Willard J Lamb,05-10-18,33:35.05Y
M95-99,50 Y Back,Willard J Lamb,05-12-18,53.43Y
M95-99,100 Y Back,Willard J Lamb,05-11-18,1:54.81Y
M95-99,200 Y Back,Willard J Lamb,04-14-18,4:10.89Y
M95-99,50 Y Breast,Russ Witte,02-11-12,1:03.32Y
M95-99,100 Y Breast,Russ Witte,02-12-12,2:34.82Y
M95-99,200 Y Breast,Russ Witte,02-12-12,5:49.18Y
M95-99,50 Y Fly,Frank R Grannis,02-29-20,1:26.46Y
M95-99,100 Y Fly,Robert R Doud,08-13-18,4:10.29Y
M95-99,200 Y Fly,Robert R Doud,08-13-18,10:32.40Y
M95-99,100 Y IM,Robert R Doud,08-13-18,4:15.45Y
M95-99,200 Y IM,Robert R Doud,08-13-18,9:44.41Y
M100-104,50 Y Free,Willard J Lamb,04-16-23,52.18Y
M100-104,100 Y Free,Willard J Lamb,04-15-23,2:09.56Y
M100-104,200 Y Free,Willard J Lamb,04-15-23,4:32.38Y
M100-104,500 Y Free,Willard J Lamb,04-16-23,12:14.53Y
M100-104,1000 Y Free,Willard J Lamb,04-16-23,24:52.97Y
M100-104,1650 Y Free,Willard J Lamb,04-16-23,41:11.26Y
M100-104,50 Y Back,Willard J Lamb,04-16-23,1:00.22Y
M100-104,100 Y Back,Willard J Lamb,04-15-23,2:17.27Y
M100-104,200 Y Back,Willard J Lamb,04-15-23,4:41.83Y
